id,grade_level,sex,race,gpa,econ_dis,disability,dis_cat,lang,iss_off,iss_days,subj_off,days_absent
104,Kindergarten,Female,Asian,3,Yes,No,Not Applicable,English,0,0,0,0
105,9th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,1
106,12th Grade,Male,White,2,No,No,Not Applicable,English,0,0,0,3
107,12th Grade,Male,Hispanic,3.67,No,Yes,Speech/Language Impairments,Spanish,0,0,0,1
108,12th Grade,Male,Multi-racial,2.33,Yes,No,Not Applicable,Spanish,0,0,0,2
109,11th Grade,Male,White,2.33,Yes,No,Not Applicable,Spanish,0,0,0,1
110,11th Grade,Male,Black,2.33,Yes,No,Not Applicable,English,0,0,0,4
111,8th Grade,Female,White,1.67,No,No,Not Applicable,English,0,0,0,2
112,1st Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,1
113,11th Grade,Female,White,3.33,No,Yes,Intellectual Disability,English,0,0,0,4
114,7th Grade,Male,Hispanic,3.33,Yes,No,Not Applicable,English,0,0,0,1
115,11th Grade,Female,White,4,No,Yes,Autism,English,0,0,0,1
116,1st Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,2
117,12th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,2
118,4th Grade,Female,White,2,No,No,Not Applicable,English,0,0,0,1
119,8th Grade,Male,White,2.33,Yes,Yes,Developmental Delay,English,0,0,1,2
120,2nd Grade,Male,White,2,No,No,Not Applicable,English,0,0,0,1
121,5th Grade,Female,White,3.33,Yes,No,Not Applicable,Spanish,0,0,0,1
122,4th Grade,,White,2.33,No,Yes,Intellectual Disability,Other,0,0,0,1
123,11th Grade,Male,Asian,2.33,Yes,No,Not Applicable,English,0,0,0,1
124,7th Grade,Male,Hispanic,2.33,No,No,Not Applicable,English,0,0,0,2
125,4th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,4
126,1st Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,1
127,3rd Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,1
128,9th Grade,Female,Black,3,No,No,Not Applicable,English,0,0,0,4
129,4th Grade,Female,Hispanic,3.67,No,No,Not Applicable,English,0,0,0,4
130,12th Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,0
131,6th Grade,Female,Black,3,No,No,Not Applicable,English,1,1,2,7
132,2nd Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,2
133,2nd Grade,Female,Black,3,Yes,No,Not Applicable,English,0,0,0,1
134,2nd Grade,Male,Black,2.67,Yes,Yes,Specific Learning Disability,English,0,0,0,0
135,7th Grade,Female,White,2.67,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,2
136,2nd Grade,Female,Black,1.67,No,No,Not Applicable,English,0,0,0,0
137,Kindergarten,Female,White,3,No,No,Not Applicable,English,0,0,0,1
138,9th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,2
139,6th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,3
140,1st Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,0
141,4th Grade,Female,White,2.67,No,Yes,Other,English,0,0,0,3
142,8th Grade,Female,White,3,Yes,No,Not Applicable,Other,1,1,1,6
143,2nd Grade,Male,Black,2.67,Yes,No,Not Applicable,English,0,0,0,3
144,1st Grade,Male,White,3,No,No,Not Applicable,Other,0,0,0,4
145,3rd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,0
146,3rd Grade,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,2
147,Kindergarten,Female,Black,2.33,Yes,No,Not Applicable,English,0,0,0,0
148,12th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,0
149,2nd Grade,Male,White,1.67,Yes,No,Not Applicable,Spanish,0,0,0,3
150,6th Grade,Male,Black,2.33,No,No,Not Applicable,English,6,4,6,11
151,Kindergarten,Female,Black,2.33,Yes,Yes,Other,English,0,0,0,4
152,7th Grade,Male,White,3,No,No,Not Applicable,Other,1,1,1,8
153,4th Grade,Female,Black,3,Yes,No,Not Applicable,English,0,0,0,1
154,6th Grade,Female,Asian,3,No,No,Not Applicable,English,0,0,0,2
155,4th Grade,Female,Native,2.67,Yes,Yes,Specific Learning Disability,English,4,3,3,7
156,3rd Grade,Male,White,3,No,No,Not Applicable,Other,0,0,0,3
157,Pre-K,Female,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,1
158,1st Grade,Female,White,2.67,No,Yes,Intellectual Disability,English,0,0,0,2
159,5th Grade,Male,Black,3.33,Yes,No,Not Applicable,Spanish,0,0,2,2
160,8th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,4
161,5th Grade,,White,2.67,No,No,Not Applicable,English,0,0,1,2
162,10th Grade,Male,White,3,Yes,Yes,Specific Learning Disability,English,1,1,10,14
163,4th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
164,Pre-K,Female,White,2.33,Yes,No,Not Applicable,English,0,0,0,1
165,9th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,2
166,8th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,3
167,Pre-K,Male,White,2.33,No,No,Not Applicable,Spanish,,,,47
168,9th Grade,Female,,2.33,No,No,Not Applicable,English,0,0,0,1
169,8th Grade,Male,Asian,3.33,Yes,No,Not Applicable,Other,0,0,0,2
170,6th Grade,Male,Asian,3.33,No,No,Not Applicable,English,0,0,0,1
171,9th Grade,Female,White,3.67,Yes,No,Not Applicable,Spanish,0,0,0,3
172,3rd Grade,Female,White,3.33,No,No,Not Applicable,Spanish,0,0,0,0
173,Pre-K,Female,Hispanic,3.33,No,No,Not Applicable,English,0,0,0,3
174,2nd Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,5
175,3rd Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,2
176,2nd Grade,Female,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,4
177,6th Grade,Female,Hispanic,2,No,Yes,Speech/Language Impairments,English,4,3,1,7
178,10th Grade,Male,White,3,No,Yes,Specific Learning Disability,English,0,0,0,1
179,4th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,5
180,Kindergarten,Male,White,3,Yes,No,Not Applicable,English,0,0,0,1
181,9th Grade,Male,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,0
182,9th Grade,Female,Hispanic,2,No,No,Not Applicable,English,5,4,1,7
183,7th Grade,Female,White,3,Yes,No,Not Applicable,Spanish,0,0,0,3
184,12th Grade,Female,White,2.67,Yes,Yes,Specific Learning Disability,English,5,4,2,6
185,2nd Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,0
186,2nd Grade,Female,Hispanic,2.67,Yes,No,Not Applicable,Other,1,1,5,6
187,12th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,1
188,9th Grade,Female,White,3.33,Yes,No,Not Applicable,English,1,7,9,15
189,5th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,0
190,7th Grade,Male,Hispanic,2.67,Yes,No,Not Applicable,English,0,0,0,1
191,6th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,0
192,2nd Grade,Female,Hispanic,3.33,No,No,Not Applicable,Spanish,0,0,0,1
193,7th Grade,Male,White,3.33,Yes,No,Not Applicable,English,1,7,7,14
194,7th Grade,Male,,2.67,No,Yes,Specific Learning Disability,English,0,0,0,1
195,10th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,3
196,12th Grade,Male,White,3.33,Yes,No,Not Applicable,English,0,0,0,2
197,6th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,0
198,4th Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,1,1
199,3rd Grade,Male,White,2.33,No,No,Not Applicable,English,0,0,0,0
200,2nd Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,1
201,12th Grade,Female,,3,Yes,No,Not Applicable,English,,,,50
202,2nd Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,4
203,5th Grade,Male,White,3.67,Yes,No,Not Applicable,English,0,0,0,5
204,2nd Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,0
205,7th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
206,12th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,5
207,5th Grade,Male,White,3.33,No,No,Not Applicable,Other,0,0,0,3
208,6th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,2
209,Kindergarten,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
210,4th Grade,Female,White,2,Yes,No,Not Applicable,English,0,0,0,3
211,10th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
212,3rd Grade,,Hispanic,3,No,No,Not Applicable,English,1,1,1,11
213,12th Grade,Female,White,2.33,Yes,Yes,Speech/Language Impairments,English,0,0,2,3
214,12th Grade,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,1
215,2nd Grade,Male,Black,2.67,No,Yes,Specific Learning Disability,English,0,0,0,1
216,Pre-K,Female,Asian,2.33,Yes,No,Not Applicable,English,0,0,0,4
217,10th Grade,Male,White,3.33,No,No,Not Applicable,English,0,0,0,4
218,Pre-K,Male,White,3,Yes,No,Not Applicable,English,0,0,0,2
219,6th Grade,Female,White,2,No,No,Not Applicable,English,,,,6
220,7th Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,English,0,0,1,4
221,Kindergarten,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,0
222,6th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,1,4
223,10th Grade,Male,Black,3.33,Yes,No,Not Applicable,English,2,8,10,8
224,Kindergarten,Female,Black,3.33,Yes,No,Not Applicable,English,0,0,0,5
225,9th Grade,Male,White,3,Yes,No,Not Applicable,English,0,0,0,4
226,10th Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,4
227,8th Grade,Female,Multi-racial,1.67,Yes,No,Not Applicable,English,0,0,0,3
228,6th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,4
229,Kindergarten,Male,Black,3.33,Yes,No,Not Applicable,English,0,0,0,0
230,4th Grade,Male,Hispanic,4,Yes,No,Not Applicable,Spanish,0,0,0,0
231,12th Grade,Male,Hispanic,2.67,Yes,No,Not Applicable,Spanish,7,5,3,7
232,1st Grade,Male,White,2.33,Yes,Yes,Specific Learning Disability,English,0,0,0,3
233,12th Grade,Female,White,3,No,No,Not Applicable,Spanish,1,1,3,10
234,8th Grade,Male,Native,3,Yes,No,Not Applicable,Spanish,0,0,0,1
235,6th Grade,Male,White,2.67,No,No,Not Applicable,Other,0,0,0,3
236,9th Grade,Male,Hispanic,2.33,Yes,No,Not Applicable,German,3,8,8,6
237,Kindergarten,Female,Asian,3,No,No,Not Applicable,English,0,0,0,3
238,8th Grade,Male,Hispanic,2.33,No,No,Not Applicable,English,1,1,5,7
239,12th Grade,Female,Asian,2.67,No,No,Not Applicable,English,0,0,0,4
240,6th Grade,Male,Black,3,No,Yes,Specific Learning Disability,English,1,1,3,10
241,10th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,0
242,8th Grade,Female,White,3.67,No,No,Not Applicable,Other,0,0,0,3
243,4th Grade,Male,White,2.67,No,No,Not Applicable,Spanish,0,0,0,2
244,Kindergarten,Female,White,2.67,No,No,Not Applicable,Spanish,2,2,1,8
245,Pre-K,Female,White,3,No,No,Not Applicable,Vietnamese,0,0,0,2
246,2nd Grade,Male,White,2,Yes,No,Not Applicable,English,0,0,0,0
247,11th Grade,Female,Black,3,No,No,Not Applicable,English,0,0,0,3
248,2nd Grade,Female,White,2,Yes,Yes,Specific Learning Disability,Spanish,0,0,0,0
249,8th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,0
250,9th Grade,,White,2.67,No,No,Not Applicable,English,0,0,0,0
251,3rd Grade,Male,White,2.33,Yes,No,Not Applicable,English,0,0,0,0
252,2nd Grade,Female,White,3,Yes,No,Not Applicable,English,0,0,0,0
253,1st Grade,Male,Multi-racial,2.67,No,No,Not Applicable,English,0,0,0,0
254,10th Grade,Male,White,3.33,No,Yes,Specific Learning Disability,English,0,0,0,0
255,11th Grade,Female,Hispanic,3,Yes,No,Not Applicable,Spanish,3,3,3,9
256,9th Grade,Female,Black,2.67,No,No,Not Applicable,English,0,0,0,2
257,1st Grade,Female,Black,3,Yes,No,Not Applicable,English,1,1,3,6
258,1st Grade,Female,Native,3,No,No,Not Applicable,Spanish,0,0,0,3
259,9th Grade,Female,White,3,No,Yes,Specific Learning Disability,English,0,0,0,1
260,12th Grade,Male,White,2.67,Yes,No,Not Applicable,English,0,0,0,4
261,Pre-K,Female,Hispanic,3,No,Yes,Emotional Disturbance,English,0,0,0,4
262,Kindergarten,Male,White,2.67,No,No,Not Applicable,English,0,0,1,2
263,Kindergarten,,White,3,Yes,No,Not Applicable,English,0,0,0,1
264,8th Grade,Male,Multi-racial,2.67,Yes,No,Not Applicable,Other,0,0,0,0
265,1st Grade,Female,Hispanic,3,No,Yes,Specific Learning Disability,English,0,0,0,5
266,11th Grade,Male,Black,2.67,No,No,Not Applicable,Spanish,0,0,0,1
267,3rd Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,4
268,9th Grade,Female,White,3,Yes,Yes,Specific Learning Disability,English,0,0,0,2
269,11th Grade,Male,Hispanic,3,Yes,Yes,Specific Learning Disability,English,,,,34
270,7th Grade,Female,White,2.67,No,No,Not Applicable,English,1,2,1,12
271,1st Grade,Female,Hispanic,2.33,Yes,No,Not Applicable,Spanish,0,0,0,3
272,7th Grade,Female,White,2,No,No,Not Applicable,English,0,0,0,1
273,2nd Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,3
274,8th Grade,Female,Multi-racial,2.67,No,No,Not Applicable,English,0,0,0,1
275,4th Grade,Male,Black,2.67,Yes,Yes,Speech/Language Impairments,English,0,0,0,3
276,2nd Grade,Male,White,2.33,Yes,No,Not Applicable,English,,,,35
277,9th Grade,Male,White,3,No,No,Not Applicable,Spanish,0,0,0,4
278,4th Grade,Male,White,2.33,No,No,Not Applicable,Vietnamese,0,0,0,0
279,3rd Grade,Female,White,3.33,Yes,Yes,Speech/Language Impairments,English,0,0,0,5
280,1st Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,0
281,11th Grade,Female,White,2.33,No,No,Not Applicable,Other,0,0,1,3
282,1st Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,1
283,6th Grade,Female,Black,2,No,No,Not Applicable,Spanish,0,0,0,1
284,8th Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,1
285,11th Grade,Female,Hispanic,2.67,No,No,Not Applicable,Spanish,0,0,0,0
286,3rd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,4
287,7th Grade,,Asian,2.67,Yes,No,Not Applicable,English,0,0,0,4
288,10th Grade,Female,White,2,Yes,No,Not Applicable,English,,,,34
289,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,3
290,7th Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,3
291,9th Grade,Male,Asian,3,No,No,Not Applicable,English,0,0,0,2
292,1st Grade,Female,White,2.33,No,No,Not Applicable,Other,2,2,1,6
293,7th Grade,Female,Hispanic,3,No,No,Not Applicable,English,0,0,0,3
294,11th Grade,Female,Hispanic,2,No,No,Not Applicable,English,0,0,0,3
295,10th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,4
296,6th Grade,,White,2.67,No,No,Not Applicable,Spanish,0,0,0,2
297,Kindergarten,Female,Hispanic,2.67,Yes,No,Not Applicable,Spanish,0,0,0,0
298,Pre-K,Male,White,2.33,No,No,Not Applicable,English,,,,9
299,2nd Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,3
300,8th Grade,Male,White,2.33,Yes,No,Not Applicable,English,0,0,0,0
301,4th Grade,Male,White,2.67,Yes,No,Not Applicable,Other,0,0,0,4
302,6th Grade,Male,Hispanic,3,Yes,No,Not Applicable,English,0,0,0,4
303,1st Grade,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
304,9th Grade,Male,White,2.33,Yes,No,Not Applicable,Russian,0,0,0,4
305,3rd Grade,Female,White,2.67,No,Yes,Other,English,0,0,0,4
306,3rd Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,1
307,Pre-K,Male,White,2,Yes,No,Not Applicable,English,,,,17
308,4th Grade,Male,Black,3.67,No,No,Not Applicable,English,0,0,0,4
309,8th Grade,Female,White,2.67,Yes,No,Not Applicable,Other,0,0,0,1
310,11th Grade,Male,Black,3.67,No,No,Not Applicable,English,1,1,1,13
311,9th Grade,Female,White,3,Yes,Yes,Autism,Spanish,0,0,0,5
312,4th Grade,Female,Black,3.67,Yes,No,Not Applicable,Spanish,0,0,0,2
313,Pre-K,Male,White,2.67,No,No,Not Applicable,Spanish,0,0,0,5
314,9th Grade,Male,Hispanic,2.67,No,No,Not Applicable,English,0,0,0,5
315,8th Grade,Male,Black,3,No,Yes,Specific Learning Disability,English,1,1,1,11
316,Kindergarten,Female,White,2.67,Yes,No,Not Applicable,English,0,0,0,1
317,4th Grade,Female,White,3.33,Yes,No,Not Applicable,English,0,0,0,0
318,8th Grade,Male,White,2.67,No,No,Not Applicable,English,0,0,0,3
319,9th Grade,Female,White,2,No,No,Not Applicable,English,0,0,0,0
320,1st Grade,Female,White,3,Yes,No,Not Applicable,Spanish,0,0,0,1
321,9th Grade,Female,White,3,No,No,Not Applicable,English,0,0,0,2
322,7th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,4
323,1st Grade,Male,Black,2.67,Yes,Yes,Intellectual Disability,English,0,0,0,4
324,10th Grade,Male,White,2.67,No,Yes,Speech/Language Impairments,English,0,0,0,2
325,Kindergarten,Female,White,3,No,No,Not Applicable,Spanish,0,0,0,2
326,5th Grade,Male,White,2,Yes,No,Not Applicable,English,4,3,10,6
327,2nd Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,2
328,1st Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,2
329,8th Grade,Male,Black,3,No,No,Not Applicable,English,0,0,0,5
330,1st Grade,Female,Multi-racial,2.67,No,No,Not Applicable,English,0,0,0,5
331,2nd Grade,Female,White,2.33,No,No,Not Applicable,English,0,0,0,3
332,12th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,1
333,8th Grade,Male,Black,3,Yes,No,Not Applicable,English,0,0,0,3
334,6th Grade,Female,Black,3,No,No,Not Applicable,English,,,,36
335,11th Grade,Male,White,3.33,Yes,No,Not Applicable,Other,0,0,0,3
336,5th Grade,Male,Hispanic,3.67,Yes,Yes,Other,English,0,0,0,2
337,9th Grade,Female,White,3.33,No,No,Not Applicable,English,0,0,0,4
338,6th Grade,Female,White,2.67,No,No,Not Applicable,English,0,0,0,2
339,11th Grade,Female,White,2.33,No,Yes,Specific Learning Disability,English,0,0,0,2
340,3rd Grade,Male,White,3,No,No,Not Applicable,Other,4,3,1,8
341,10th Grade,Female,Black,2.67,No,No,Not Applicable,English,0,0,2,3
342,5th Grade,Male,White,2.67,No,No,Not Applicable,English,,,,12
343,2nd Grade,Female,White,3,Yes,Yes,Specific Learning Disability,English,0,0,0,2
344,8th Grade,Male,White,3,No,No,Not Applicable,English,0,0,0,1
